,dates,profit,dates_count,cumulative
42,2019-10-06,0.30303030303030304,1,0.30303030303030304
43,2019-10-09,-1.0,1,-0.696969696969697
31,2019-10-11,0.4,1,-0.296969696969697
32,2019-10-22,1.8571428571428572,2,1.5601731601731603
33,2019-10-23,1.9857142857142858,7,3.545887445887446
34,2019-10-24,0.9090909090909091,3,4.454978354978355
35,2019-10-25,-1.2829365079365078,8,3.172041847041847
36,2019-10-26,-0.41185625353706856,5,2.7601855935047785
37,2019-10-27,0.3333333333333335,4,3.093518926838112
38,2019-10-28,1.364194577352472,8,4.457713504190584
39,2019-10-29,-0.75,2,3.7077135041905844
40,2019-10-30,3.278294930875576,9,6.986008435066161
41,2019-10-31,-0.12962962962962965,3,6.856378805436531
44,2019-11-01,3.1687400318979266,7,10.025118837334457
55,2019-11-02,4.020606191194426,8,14.045725028528883
65,2019-11-03,4.7766747745008615,6,18.822399803029747
67,2019-11-04,2.7725787284610814,5,21.594978531490828
68,2019-11-05,3.4468512021904676,6,25.041829733681297
69,2019-11-06,5.277150149730795,8,30.31897988341209
70,2019-11-07,0.8392473118279571,4,31.15822719524005
71,2019-11-08,4.59959854959855,8,35.7578257448386
72,2019-11-09,0.8303030303030303,4,36.58812877514163
45,2019-11-10,4.022222222222222,4,40.61035099736385
46,2019-11-11,1.775369458128079,5,42.385720455491935
47,2019-11-12,3.4363636363636365,6,45.82208409185557
48,2019-11-13,1.2966547192353644,6,47.118738811090935
49,2019-11-14,1.6798319327731093,5,48.79857074386405
50,2019-11-15,2.296851202190468,7,51.095421946054515
51,2019-11-16,4.8560606060606055,7,55.951482552115124
52,2019-11-17,0.7278836754643205,5,56.67936622757944
53,2019-11-18,4.339247311827957,8,61.0186135394074
54,2019-11-19,0.2701612903225806,3,61.28877482972998
56,2019-11-20,3.71203007518797,7,65.00080490491796
57,2019-11-21,-1.0,1,64.00080490491796
58,2019-11-22,2.0893885657540077,8,66.09019347067196
59,2019-11-23,4.080341880341881,9,70.17053535101384
60,2019-11-24,3.7907407407407403,3,73.96127609175458
61,2019-11-25,1.724173678710884,8,75.68544977046547
62,2019-11-26,-1.0,1,74.68544977046547
63,2019-11-27,4.547084302423569,11,79.23253407288904
64,2019-11-29,3.5137344137344138,9,82.74626848662345
66,2019-11-30,-0.6153846153846154,2,82.13088387123884
73,2019-12-01,2.7597713097713097,7,84.89065518101015
84,2019-12-02,0.42739613327848636,4,85.31805131428864
94,2019-12-03,1.165151515151515,6,86.48320282944016
97,2019-12-04,4.465734989648033,9,90.94893781908819
98,2019-12-05,-0.44999999999999996,3,90.49893781908818
99,2019-12-06,0.43253353973168207,9,90.93147135881986
100,2019-12-07,0.45454545454545453,1,91.38601681336532
101,2019-12-08,0.489247311827957,5,91.87526412519327
102,2019-12-09,5.50446127946128,6,97.37972540465455
74,2019-12-10,1.5545454545454547,2,98.93427085920001
75,2019-12-11,2.6993506493506496,7,101.63362150855066
76,2019-12-12,-0.37438905180840665,3,101.25923245674225
77,2019-12-13,0.9802421660303584,6,102.23947462277262
78,2019-12-14,-1.5028846153846154,6,100.736590007388
79,2019-12-15,0.40909090909090906,3,101.14568091647891
80,2019-12-16,-2.583333333333333,4,98.56234758314558
81,2019-12-17,1.867114367114367,5,100.42946195025995
82,2019-12-18,-3.9532019704433496,7,96.4762599798166
83,2019-12-19,-1.0178571428571428,4,95.45840283695946
85,2019-12-20,3.3298177857001385,7,98.78822062265961
86,2019-12-21,1.1071744826963044,6,99.89539510535592
87,2019-12-22,-1.2,3,98.69539510535591
88,2019-12-23,2.4327715030722548,11,101.12816660842817
89,2019-12-25,-1.4594594594594594,3,99.66870714896872
90,2019-12-26,-1.9484126984126984,6,97.72029445055603
91,2019-12-27,-0.3685300207039338,5,97.3517644298521
92,2019-12-28,-3.9250841750841747,10,93.42668025476792
93,2019-12-29,-0.548440065681445,5,92.87824018908647
95,2019-12-30,-2.0,2,90.87824018908647
96,2019-12-31,0.6094470046082949,5,91.48768719369477
0,2020-01-01,-0.4117647058823529,2,91.07592248781242
11,2020-01-02,3.737225193107546,8,94.81314768091997
22,2020-01-03,0.15376676986584098,4,94.96691445078581
25,2020-01-04,1.6406162464985994,7,96.6075306972844
